ac,lomo
99.95,99.989023861
100.066,100.086601412
99.946,99.9902019284
99.915,99.9511026054
99.977,99.9471388162
99.926,99.9305236378
99.907,99.8915971489
100.115,100.137858257
100.062,100.013898434
99.906,99.9451980285
100.053,100.018664528
100.0,100.011016556
99.874,99.9693737964
99.986,99.9532530423
99.982,99.9671118739
100.074,100.060220626
99.959,99.9181061121
100.051,100.09139496
99.839,99.8871855017
99.948,99.9343193391
99.9,99.8801846309
99.894,99.9108378235
99.789,99.8519854564
99.915,99.9138879057
100.061,100.024944651
99.996,99.9876589196
99.945,99.9401384784
99.926,99.9753382888
99.933,99.9506249916
100.036,100.0290737
99.857,99.9062508221
100.078,100.07856414
100.099,100.092130502
99.972,99.9407425679
99.943,99.9493432371
99.969,99.968
100.028,100.043668112
100.093,100.102441094
99.965,99.971
99.972,99.9599219822
100.136,100.110867147
99.857,99.8504024376
99.927,99.9112326428
99.952,99.9452214231
100.102,100.11449883
100.076,100.073148082
99.895,99.8740885039
100.039,100.047365142
99.863,99.893050214
100.033,100.061511361
100.019,100.018316484
100.105,100.089447393
99.852,99.8392812997
99.987,99.9978918882
100.023,100.045217435
99.813,99.8293442536
99.996,99.9803638589
100.162,100.137586316
99.977,100.019401338
99.96,99.9542187415
100.073,100.063285793
100.116,100.102768547
99.986,99.9870698188
100.003,99.9531213801
99.842,99.8801017964
99.993,100.007154572
99.935,99.9724121119
100.025,100.036065419
99.912,99.961488156
100.016,99.9799685281
99.796,99.8219779311
100.041,100.079221731
99.958,99.9577236439
99.865,99.8988190599
100.144,100.097411037
100.124,100.085846816
100.03,100.02773272
100.104,100.101648355
100.001,99.9992514962
100.222,100.133747324
100.081,100.071747816
99.926,99.92145746
99.724,99.7532747085
99.879,99.9001878917
99.942,99.9464791175
100.112,100.122912627
99.976,99.9997091401
99.982,99.9738735968
100.095,100.060454818
100.061,100.038171123
100.029,100.058433679
99.831,99.8905318604
100.104,100.091628148
100.17,100.17035403
100.089,100.073422105
100.015,100.041685941
100.031,100.02129956
99.983,99.9780743294
99.882,99.9078295143
100.024,100.027892365
100.048,100.045214847
99.89,99.8564845018
99.974,99.9907702811
100.084,100.070291371
99.92,99.957192121
100.004,100.019098512
99.967,99.9502739504
100.112,100.08781155
100.104,100.091228815
99.962,99.9717688797
99.988,100.00264672
99.872,99.9025139959
100.17,100.151623975
100.028,99.9894767782
100.007,100.052218515
99.954,99.9594103714
99.979,100.004218416
99.914,99.9376643746
100.236,100.220769868
100.004,100.021941674
100.105,100.132450984
100.013,100.058844393
100.139,100.155386693
99.818,99.9144253478
100.124,100.106665784
100.069,100.110140946
99.937,99.9413336818
99.872,99.9036910582
99.893,99.9166646676
99.938,99.9406222512
99.943,99.9447718952
100.007,100.02026679
100.087,100.086688371
100.288,100.229223928
99.846,99.8633758028
100.081,100.054343694
99.988,99.9966356349
100.063,100.05277671
99.969,99.9974503926
100.024,100.009127616
99.982,99.9781311273
100.042,100.009235857
99.915,99.8990096205
99.86,99.9125640497
99.97,99.9539018274
100.083,100.087691253
99.962,100.019654375
99.865,99.8890942947
100.136,100.113204879
99.787,99.8359989032
99.78,99.7760499772
100.1,100.105305762
100.089,100.083054835
100.099,100.096985729
99.897,99.9023121695
100.014,100.037551626
100.136,100.154188696
100.038,100.07112987
99.99,100.009255101
100.031,100.056769472
100.105,100.128119249
100.086,100.110097128
99.985,100.01952499
100.13,100.113246162
99.991,100.053812861
100.009,99.9678466112
100.166,100.160192912
100.075,100.058443383
99.902,99.9260412178
100.088,100.115494126
100.108,100.103604882
100.101,100.078158196
99.922,99.9136205493
99.938,99.9525467528
99.994,100.011181247
99.924,99.9126713991
99.924,100.00532793
99.897,99.9297827998
100.093,100.085303094
99.802,99.8138370674
99.947,99.9112803826
99.964,100.003693851
99.951,99.9446238348
99.999,100.015859718
99.991,100.003740524
100.18,100.1816278
99.915,99.8560212885
99.98,99.9245005684
99.932,99.9805273439
99.989,100.012166734
99.982,99.9917335515
100.166,100.138899312
99.975,99.9991975489
100.041,100.07925222
100.074,100.129148395
100.142,100.091255655
100.049,100.041728688
100.022,100.061220181
99.984,100.024501841
100.08,100.054865059
100.01,99.9593144987
100.009,100.019452239
99.931,99.9782291367
99.917,99.8697890943
100.059,100.076065222
100.138,100.122299885
99.876,99.82
100.017,99.9946804673
99.859,99.8810032181
99.957,99.9391236489
99.912,99.9256111506
100.077,100.091158438
100.023,100.017536022
100.072,100.059766416
100.026,99.9875470951
99.969,99.936028831
100.004,100.055119374
99.959,99.9597425357
100.007,99.9761057065
100.045,100.037138153
100.028,100.006526105
100.06,100.081107519
100.096,100.113303182
99.99,99.9813389337
99.925,99.9444605571
100.103,100.090740219
99.886,99.9722583893
99.969,99.9530640768
100.168,100.15614118
99.945,99.9263518847
100.067,100.078403637
100.207,100.198537181
100.134,100.100923787
99.898,99.8828216795
100.016,100.045327469
100.09,100.073666984
100.006,100.048738141
100.024,100.045424353
99.912,99.9162728594
99.987,99.9918866098
99.944,99.9274223051
100.046,100.060011374
99.825,99.852050125
100.108,100.094044975
99.956,100.017301403
100.059,100.069801005
100.152,100.122122154
99.86,99.8729820957
99.916,99.97263663
100.114,100.110717552
100.107,100.080394345
100.132,100.100386401
100.123,100.129644282
100.033,100.038715993
99.751,99.7232046362
100.029,100.009112048
99.912,99.8813794478
99.784,99.7880735889
100.119,100.090691422
100.128,100.103580409
100.053,100.011490499
100.032,100.035911277
100.089,100.059132865
100.029,100.007536264
100.034,100.014897235
99.943,99.9006363092
100.024,100.04502451
99.865,99.8908765227
99.88,99.9382302753
100.013,100.05155765
100.143,100.087274827
99.869,99.9103328234
99.938,99.9133341244
99.955,99.9793743063
99.977,100.027214817
100.125,100.105488766
100.064,100.005770211
100.187,100.189184519
99.884,99.9242683479
99.903,99.9449632128
99.938,99.9525377075
99.955,100.010423298
99.951,99.9293127283
100.17,100.208430469
100.038,100.008838905
100.065,100.051520886
100.113,100.072393415
99.87,99.9206394558
100.06,100.071933305
100.04,100.087006003
99.948,99.9442635595
99.811,99.8672911176
100.09,100.080375106
100.196,100.162008034
100.034,100.040207479
100.037,100.007651844
100.109,100.073901344
100.076,100.128518303
99.987,99.9826039477
99.908,99.9326210791
99.787,99.8312843114
100.063,100.114336088
99.916,99.916427619
100.156,100.143279512
100.032,100.015965289
100.002,100.012445643
99.906,99.9536411452
99.882,99.9191377546
100.066,100.071873408
99.896,99.9237822309
100.023,100.030295752
99.963,99.9367798468
100.016,100.028748998
99.859,99.8836863568
99.958,99.9602491953
100.149,100.163780084
99.888,99.8600876198
100.183,100.224595776
99.978,100.013755369
99.983,99.9880187381
100.036,100.033751514
100.117,100.091132916
99.968,99.9401467295
100.088,100.103133216
100.12,100.104447265
100.146,100.155878186
100.127,100.117681681
100.17,100.094131948
99.987,100.026171447
99.825,99.8768279434
100.048,100.068506676
100.129,100.151297986
99.771,99.7953072072
100.078,100.105622293
99.917,99.931859461
99.923,99.9782174944
100.053,100.027104689
100.139,100.143187
100.0,100.05572312
100.147,100.098151893
100.059,100.042017524
99.89,99.885
99.895,99.9303877524
99.88,99.9225963011
100.142,100.077271223
99.95,99.9740243178
100.029,100.058037504
100.109,100.156074967
99.784,99.8384278667
99.861,99.8765386929
99.929,99.9292001183
99.922,99.9572406288
99.905,99.87
99.929,99.9549457494
99.877,99.8963297496
100.094,100.110566696
99.918,99.8950287718
99.861,99.8862755389
100.185,100.142681206
99.988,99.938670622
100.152,100.134193326
99.916,99.9731991335
99.976,99.9555136739
100.158,100.158105902
100.085,100.083368159
99.935,100.015516445
100.031,100.011681118
100.126,100.045891822
99.928,99.9033791667
100.039,100.034259146
99.901,99.9380145616
100.024,100.040729121
99.803,99.8268201913
100.03,99.9691626656
99.872,99.8894645302
100.048,100.04986785
99.975,100.022
99.962,99.9784960354
100.095,100.088246113
100.055,99.9633877176
99.966,100.01096392
99.955,100.001120659
99.847,99.8483402486
100.099,100.102895786
99.856,99.8594942951
99.892,99.9296796676
99.987,100.013031909
99.905,99.8821687982
99.979,99.978733403
99.94,99.9519478845
100.186,100.154645213
99.814,99.8375546774
100.128,100.128493002
99.859,99.9216285315
100.149,100.15700235
100.047,100.076807362
100.128,100.120370553
99.807,99.8482566345
99.968,99.9943168745
99.936,99.9575132455
99.961,99.9982341648
99.997,100.007485239
100.109,100.128634561
99.936,99.9530913795
99.939,99.9307931822
100.076,100.069190222
99.999,100.092638797
100.017,99.9704262151
100.029,100.015567361
100.013,100.022199133
100.001,99.9938474406
100.198,100.167188876
100.013,100.049116244
99.919,99.9766845472
100.144,100.135741648
100.14,100.146249247
99.876,99.8719048963
99.983,99.9866489987
100.081,100.047507172
100.063,100.085712439
99.893,99.9723929496
99.974,100.004406912
100.069,100.031564147
100.077,100.04649847
100.017,100.025153408
100.017,100.01430351
100.046,100.032819283
99.928,99.929616203
100.0,100.026328603
100.005,100.012489174
99.957,99.9602827178
99.954,100.004042555
99.812,99.8397818417
99.829,99.8350902375
100.05,100.04726844
100.014,100.026547126
100.064,100.061180189
100.114,100.127263653
99.912,99.9487121872
100.086,100.07658133
99.974,99.93999986
99.959,99.9511865248
99.792,99.7971845453
99.955,99.9694096785
99.9,99.915
100.054,100.081335756
100.069,100.043454192
100.073,100.092832417
99.925,99.9563422091
99.957,100.005086617
100.037,100.01223605
100.099,100.065401595
99.943,99.9477883773
99.937,99.9041417678
99.869,99.9213621894
100.157,100.157358797
99.994,100.006557085
99.859,99.9049341762
100.001,100.009165554
99.88,99.8889410906
99.986,99.9910352714
99.999,100.056872972
99.826,99.8117949966
99.998,100.020930178
99.878,99.8599157105
99.839,99.844315867
100.212,100.200295998
100.13,100.083904919
100.071,99.996519389
99.958,99.9816098114
100.06,99.998
99.984,100.04513136
100.098,100.04018554
99.925,99.9571149752
100.169,100.114478331
100.004,99.9915727139
100.025,100.015089936
100.136,100.133749764
100.01,100.002394838
100.04,100.018139287
99.906,99.9094432962
99.95,99.9788201943
99.989,100.012780704
100.066,100.033190811
99.996,100.038895705
100.077,100.046206487
100.015,100.015529448
100.009,100.029847769
99.936,99.9704043031
100.015,100.072160586
100.046,100.047580401
99.898,99.8393350983
99.89,99.859
99.802,99.8347769283
100.024,100.035250495
99.872,99.8549611943
100.013,100.011406316
100.114,100.124397981
99.947,99.9316324543
99.949,99.9425145674
100.133,100.086569934
100.107,100.096339443
100.041,100.027820219
99.947,99.9897405837
100.032,100.035866022
100.056,100.020989645
100.081,100.00924741
100.088,100.102628207
99.867,99.8534195013
99.887,99.897952782
99.968,99.9901357691
99.854,99.8792045875
99.948,99.931063284
100.201,100.218802579
100.147,100.108529475
100.254,100.182620216
99.934,99.9246424013
99.786,99.8136960404
99.906,99.9117194139
100.007,100.013367659
99.99,99.9787601108
99.808,99.8584785375
100.03,100.013567162
99.929,99.9590338304
99.973,100.00592079
100.155,100.130406109
99.961,100.030106841
100.149,100.119516984
99.863,99.9022105059
100.054,100.026330747
100.07,100.06520884
100.07,100.072416551
99.962,100.030047725
99.924,99.9044244216
100.065,100.083919315
100.047,100.026653562
99.955,99.9677290678
100.057,100.021241748
99.862,99.9370143704
100.119,100.172280775
99.893,99.9222718024
99.959,99.8820600559
100.004,99.9873156946
99.985,99.9691984004
100.004,99.9634036137
100.041,100.041883384
99.918,99.943165292
99.938,99.9373017044
100.145,100.037834893
99.842,99.9088258738
100.045,100.044314351
99.953,99.9571033055
100.01,99.9932709023
100.051,100.035146202
100.044,100.028616135
99.878,99.9173947984
99.924,99.9214019779
100.082,100.05523867
99.75,99.7970874571
99.939,99.961675633
100.116,100.079953578
99.98,100.03043629
100.111,100.108145339
100.13,100.09995638
100.075,100.053263002
100.02,100.005439836
99.975,99.9512619405
100.034,100.018694021
100.085,100.04478215
99.841,99.9150236998
99.867,99.8914873728
99.989,100.003436441
100.284,100.273970958
100.137,100.173198244
100.039,100.020236471
100.168,100.071517165
99.858,99.9125639973
99.914,99.9512120519
99.91,99.9216126571
99.904,99.9138170748
100.099,100.10196441
100.264,100.233018851
100.04,100.037065078
100.059,100.07612845
100.12,100.113050231
99.95,99.9582229865
99.948,99.9561611804
100.04,99.9770095754
100.032,100.011308778
100.093,100.081734218
100.292,100.192881813
100.041,100.059177263
100.025,100.023871724
99.968,99.9460719235
100.056,100.062822537
99.909,99.8975254585
99.981,99.964790896
100.02,100.062420698
99.966,100.014238942
99.926,99.9114258469
100.129,100.114529473
99.854,99.892793568
100.014,100.066
100.135,100.12912839
100.188,100.178887489
100.072,100.084068874
99.983,100.008106425
100.173,100.161561062
99.838,99.8848298698
100.091,100.041791154
99.976,99.991118382
99.944,99.9149685409
100.016,100.070111795
99.905,99.9243320201
100.174,100.115837678
100.121,100.094444191
100.05,100.075923197
100.06,100.062551524
100.039,100.027549201
100.077,100.065352071
100.193,100.191085198
100.009,100.030122739
99.968,100.012461962
100.016,100.012437796
99.912,99.9307737721
100.065,100.070432085
99.872,99.9111245387
99.997,99.9855043174
100.092,100.108584045
100.113,100.074741878
100.141,100.136236898
99.982,99.9927933564
100.128,100.082316366
99.907,99.9549369352
99.879,99.9064370662
99.907,99.932851541
99.96,99.9897182454
100.119,100.092975499
99.956,99.9620746673
99.972,99.9712854584
99.959,99.9442249723
100.102,100.061782549
99.996,99.9853042474
99.747,99.7944515496
100.21,100.200671634
99.964,99.9684403261
100.159,100.14326018
100.083,100.105459776
100.002,99.9952141123
99.969,99.9663341274
99.921,99.9446918573
99.934,99.9887306073
100.074,100.079539145
100.188,100.185020565
100.148,100.164381575
100.039,100.036242354
99.826,99.8649220875
99.919,99.9376046465
100.044,100.013625183
100.031,100.017458538
99.897,99.8793208895
99.788,99.8510555674
100.051,99.9979935872
99.85,99.8802012985
100.062,100.05369231
100.093,100.086772338
100.001,99.9933436514
99.921,99.8882697811
99.955,99.9729306707
99.992,99.9794175139
100.037,100.025231211
99.831,99.7681525718
99.993,99.997268578
99.753,99.8372127585
100.045,100.011402066
99.867,99.8794017253
100.073,100.076214856
100.07,100.067270924
100.05,100.038952539
99.771,99.7983998076
100.047,99.9793009583
100.005,100.00412603
99.841,99.868341409
99.967,99.9380350356
100.104,100.103123649
99.872,99.8904819086
100.052,100.050992064
99.719,99.7452301327
99.884,99.8423832119
99.905,99.9573335541
100.043,100.061420206
99.712,99.7803289254
100.026,100.03522331
99.916,99.908045277
100.143,100.125860198
100.063,100.022247957
100.155,100.147801802
100.031,100.018289067
100.062,100.037256988
99.966,99.9553355302
99.879,99.8927961459
100.023,100.019078211
100.049,100.029273218
100.162,100.109480734
100.114,100.078526886
99.885,99.9258934818
100.128,100.119449531
100.127,100.136932015
100.31,100.314787472
99.81,99.8656372056
100.077,100.086296754
100.15,100.126678908
99.941,99.9234007176
99.956,99.9321367531
99.971,99.9971206843
99.859,99.855283036
99.908,99.9079489408
99.996,100.00980407
99.939,99.9636523209
99.97,100.009917875
100.136,100.117038167
100.026,100.021480498
99.87,99.9064906279
99.832,99.868264787
100.196,100.131516193
100.009,100.023103154
100.057,100.062062732
99.859,99.7992498026
100.111,100.115238359
99.977,99.968816655
100.197,100.179675903
100.005,100.026290304
100.083,100.064313016
100.063,100.023457566
100.062,100.05401756
99.955,99.9592753093
99.932,99.9706472451
100.079,100.103059604
100.178,100.168827345
99.923,99.9380089759
99.926,99.961170621
99.998,100.027022517
99.993,99.9981850072
100.154,100.15
100.011,100.005577118
100.094,99.9954328068
99.863,99.8620868258
99.989,99.9896412916
99.956,100.034116912
100.007,100.00625369
99.998,99.9271192781
99.958,99.9273631104
100.155,100.161344652
100.094,100.089193119
100.12,100.12236529
100.06,100.059275886
100.146,100.119988428
99.89,99.9114033491
99.886,99.9476157297
100.21,100.1824576
100.067,100.046229604
99.843,99.8822142438
99.996,100.00741707
100.226,100.128459561
100.041,100.042169663
99.93,99.9522487649
99.916,99.933
99.948,99.9801237102
99.808,99.8091456995
99.902,99.8684605652
